"title","url","date","author","categories","originalTags","candidateTags","summary","wordCount","sourceArchive"
"So Did Secretaries Write the Apostles’ Letters for Them?","https://ehrmanblog.org/so-did-secretaries-write-the-apostles-letters-for-them/","August 28, 2025","BDEhrman","catholic-epistles; paul-and-his-letters","","paul; new-testament; early-christianity; apocrypha; textual-criticism; forgery-authorship; roman-world; reader-questions","Here is my second post on the use of secretaries in the ancient world, in which I discuss the issue of whether illiterate people (like Simon Peter, or John the son of Zebedee) could have had someone else write their books for them – so that 1 Peter *could* in some sense actually be by Peter even if he couldn’t write, or the Revelation of John by John.","1133","https://ehrmanblog.org/2025/08/"
"Couldn’t 1 and 2 Peter Have Been Written By Peter’s Secretaries?","https://ehrmanblog.org/couldnt-1-and-2-peter-been-written-by-peters-secretaries/","August 27, 2025","BDEhrman","catholic-epistles; paul-and-his-letters","","jesus; paul; early-christianity; apocrypha; forgery-authorship; roman-world; reader-questions; catholic-epistles","Over the 13+ years of this blog, every time I have talked about whether Peter (or any of Jesus’s other disciples) probably did or even could write one of the books attributed to him, since he (and they) were Aramaic speakers who were almost certainly uneducated and illiterate, but the books are written in highly literary Greek by trained Greek authors, I get a number of queries about whether it is possible that he (or they) may have used secretaries.","1556","https://ehrmanblog.org/2025/08/"
"For Further Reading on James, 1 Peter, and 2 Peter","https://ehrmanblog.org/for-further-reading-on-james-1-peter-and-2-pete/","August 26, 2025","BDEhrman","catholic-epistles","","gospels; paul; new-testament; early-christianity; martyrdom; suffering-evil; roman-world; judaism","Now that I’ve devoted several posts to summarizing the themes, emphases, authors, and occasions of the three Catholic epistles, I can provide some suggestions for further reading: important works written by scholars for non-scholars. I have given brief annotations for each book to give you a sense of what it’s about and so help you decide which, if any, might be worth your while.","679","https://ehrmanblog.org/2025/08/"
"2 Peter: Who Wrote It, When, and Why?","https://ehrmanblog.org/2-peter-who-wrote-it-when-and-why/","August 24, 2025","BDEhrman","catholic-epistles","","jesus; gospels; paul; new-testament; early-christianity; apocrypha; textual-criticism; forgery-authorship","Now that I have provided a summary of the major themes and emphases of the letter of 2 Peter, I can move to the question of who actually wrote it. It claims, of course, to be written by Simeon (i.","1512","https://ehrmanblog.org/2025/08/"
"2 Peter in a Nutshell","https://ehrmanblog.org/2-peter-in-a-nutshell/","August 23, 2025","BDEhrman","catholic-epistles","","jesus; gospels; paul; new-testament; hebrew-bible; forgery-authorship; canon; heaven-hell","In this “nutshell” series that summarizes each book of the New Testament in canonical order, we now come to the second letter that claims to be from the pen of Jesus’s disciple Peter. Here is my one-sentence, fifty-word description of the book.","1317","https://ehrmanblog.org/2025/08/"
"September 2025 Gold Q&A","https://ehrmanblog.org/september-2025-gold-qa/","August 22, 2025","jennao","public-forum","gold; platinum","reader-questions; blog-news; public-forum","Scheduling note: The Q&A was originally scheduled at 2pm Eastern on 9/14. It has been rescheduled to 6pm Eastern on 9/14.","154","https://ehrmanblog.org/2025/08/"
"Platinum Repost: The Death and Afterlife of Jesus: A Historical Reconstruction Part II – Guest Post by Platinum Member Mark Reichert","https://ehrmanblog.org/platinum-repost-the-death-and-afterlife-of-jesus-a-historical-reconstruction-part-ii-guest-post-by-platinum-member-mark-reichert/","August 21, 2025","jennao","public-forum","","jesus; gospels; paul; new-testament; textual-criticism; forgery-authorship; resurrection; heaven-hell","We recently shared part one of a post written by Platinum blog member, Mark Reichert. You can find the first part here.","1345","https://ehrmanblog.org/2025/08/"
"Jesus, Essenes, Bible Translations, and 2 Thessalonians: Readers’ Questions and Answers","https://ehrmanblog.org/jesus-essenes-bible-translations-and-2-thessalonians-readers-questions-and-answers/","August 20, 2025","BDEhrman","readers-questions","","jesus; paul; forgery-authorship; martyrdom; judaism; church-history; reader-questions; blog-news","Here are some of the more interesting questions from readers over the past few weeks, and my responses:","1149","https://ehrmanblog.org/2025/08/"
"Why An Author Claiming to Be Peter Wanted to Sound Like Paul","https://ehrmanblog.org/why-an-author-claiming-to-be-peter-wanted-to-sound-like-paul/","August 19, 2025","BDEhrman","catholic-epistles","","jesus; gospels; paul; new-testament; early-christianity; apocrypha; forgery-authorship; martyrdom","In my previous posts I’ve been showing that 1 Peter does not embrace the views and priorities known to be held by Peter, but endorses views and adopts the language and concerns of Paul. And I’ve asked why an author would write a book like that.","1393","https://ehrmanblog.org/2025/08/"
"Is 1 Peter More Like 1 Paul?","https://ehrmanblog.org/is-1-peter-more-like-1-paul/","August 17, 2025","BDEhrman","catholic-epistles; public-forum","","jesus; gospels; paul; new-testament; hebrew-bible; early-christianity; textual-criticism; forgery-authorship","In my previous post I started explaining that if you were to read 1 Peter, and didn’t see his name as the first word, you would probably never suspect it was written by Jesus’ disciple; on the contrary, it sounds a lot like something Paul wold have written. (All this is taken, in edited form, from my book Forgery and Counterforgery [Oxford University Press]; this is an academic book, but I’ve tried to make it completely legible to non-scholars.)","1621","https://ehrmanblog.org/2025/08/"
"Why Does the Author of 1 Peter Sound Like Paul Instead of Peter?","https://ehrmanblog.org/why-does-the-author-of-1-peter-sound-like-paul-instead-of-peter/","August 16, 2025","BDEhrman","catholic-epistles","","jesus; gospels; paul; new-testament; early-christianity; textual-criticism; forgery-authorship; resurrection","This is at the heart of the question of why a pseudonymous author who was claiming to be Peter would have written this particular letter. It’s a perplexing matter in part because nothing much about 1 Peter sounds like what we would expect from Peter, as we know him otherwise from the New Testament.","976","https://ehrmanblog.org/2025/08/"
"Did The Apostle Peter Write 1 Peter?","https://ehrmanblog.org/did-the-apostle-peter-write-1-peter/","August 14, 2025","BDEhrman","catholic-epistles","","jesus; gospels; new-testament; hebrew-bible; textual-criticism; forgery-authorship; resurrection; canon","When it comes to the question of whether Peter, the disciple of Jesus, was likely to have written 1 Peter, as I indicated in my previous post, a major issue to consider is the fact that in antiquity MOST people could not read, let alone write, let alone compose a sentence, let along a five-page essay, let alone in a foreign language. But weren’t Jews the exception?","1974","https://ehrmanblog.org/2025/08/"
"1 Peter: Who Wrote It, When, and Why?","https://ehrmanblog.org/1-peter-who-wrote-it-when-and-why/","August 13, 2025","BDEhrman","catholic-epistles","","jesus; gospels; paul; new-testament; forgery-authorship; martyrdom; canon; suffering-evil","Now that I have laid out the major themes and emphases of 1 Peter in my previous post, I can move on to the questions of who wrote it, when, and why. The final issue in some ways is easiest, at least when it comes to the overarching purpose of the letter.","1600","https://ehrmanblog.org/2025/08/"
"The Death and Afterlife of Jesus: A Historical Reconstruction Part I – by Mark Reichert (Platinum Member Winner)","https://ehrmanblog.org/platinum-repost-the-death-and-afterlife-of-jesus-a-historical-reconstruction-part-i-by-mark-reichert/","August 12, 2025","admin","historical-jesus; public-forum","","jesus; gospels; paul; new-testament; textual-criticism; forgery-authorship; resurrection; heaven-hell","As you know, the Platinum Members of the blog are invited to submit their own posts to be considered for publication on the blog. After we’ve published four of these posts, Platinum members are asked to vote for one to be published to the entire blog.","1998","https://ehrmanblog.org/2025/08/"
"1 Peter in a Nutshell","https://ehrmanblog.org/1-peter-in-a-nutshell/","August 10, 2025","BDEhrman","catholic-epistles","","jesus; gospels; paul; new-testament; early-christianity; forgery-authorship; martyrdom; canon","In this series providing overviews and discussions of each of the books of the New Testament “in a nutshell” we come, following the canonical sequence, to another gem, the book of 1 Peter. In this post I will focus on its major themes and emphases, and then in subsequent posts deal with a number of critical questions about it, such as who wrote it and when, and why, if it claims to be by Peter, it sounds so much like Paul.","1297","https://ehrmanblog.org/2025/08/"
"Am I?  AI?  What do you think?","https://ehrmanblog.org/am-i-ai-what-do-you-think/","August 9, 2025","BDEhrman","reflections-ruminations","","reflections-ruminations","I have been thinking a lot lately about the relationship of AI to human consciousness. I’m obviously not an an expert, but hey, at least I can think.","1311","https://ehrmanblog.org/2025/08/"
"Q3 2025 Platinum Webinar – September 9th","https://ehrmanblog.org/q3-2025-platinum-webinar-september-9th/","August 8, 2025","jennao","public-forum","platinum","early-christianity; suffering-evil; reader-questions; blog-news; public-forum","Platinum Members: You’re Invited
Join Bart for our next Platinum-Only Webinar on Tuesday, September 9 at 7:00 PM ET.","117","https://ehrmanblog.org/2025/08/"
"Why Would Someone Forge the Letter of James?","https://ehrmanblog.org/why-would-someone-forge-the-letter-of-james/","August 7, 2025","BDEhrman","catholic-epistles","","jesus; gospels; paul; new-testament; hebrew-bible; textual-criticism; forgery-authorship; canon","In my previous three posts I’ve argued that the author of the book of James really does want his audience to think he is “James, the brother of Jesus,” but that in fact he was someone else. In modern parlance, that means the book is a “forgery.","1208","https://ehrmanblog.org/2025/08/"
"Why James Did Not Write James","https://ehrmanblog.org/why-james-did-not-write-james/","August 6, 2025","BDEhrman","catholic-epistles","","jesus; paul; early-christianity; forgery-authorship; heaven-hell; roman-world; judaism; blog-news","Here I conclude my string of posts dealing with whether James the brother of Jesus wrote the book of James as the book itself implicitly claims. Again this is taken from my more academic study Forgery and Counterforgery, but I’ve edited it a bit for an audience of regular folk instead of irregular scholars.","1062","https://ehrmanblog.org/2025/08/"
"Could James, the Brother of Jesus, Even Write?","https://ehrmanblog.org/could-james-the-brother-of-jesus-even-write/","August 5, 2025","BDEhrman","catholic-epistles","","jesus; gospels; paul; new-testament; textual-criticism; forgery-authorship; martyrdom; canon","In my previous post I tried to show what the author of James is almost certainly claiming to be “that” James, the actual brother of Jesus. In this post and the next will be explaining why it probably (well, almost certainly was not, in my view) written by him.","1330","https://ehrmanblog.org/2025/08/"
